Master Doküman Listesi;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Doküman Kodu;Doküman Adý;;Doküman Ýngilizce Adý;Tipi;Hazýrlama Tarihi;"Revizyon
No";"Revizyon
Tarihi";Revize Eden;Sorumlu Kýsým;Revizyon Nedeni;Revizyon;Son Gözden Geçirme Tarihi;Gelecek Gözden Geçirme Tarihi;Gözden Geçirme Periyodu ;Onay Tarihi;Kullanýldýðý Süreçler;Doküman Sorumlusu;Arþivleme Süresi
BR.GR.01;BÜTÇE VE FÝNANS MÜDÜRÜ GÖREV TANIMI;;;Görev Tanýmý;29.06.2022;1;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BR.GR.02;BÜTÇE YÖNETÝMÝ MÜDÜR YARDIMCISI GÖREV TANIMI;;;Görev Tanýmý;29.06.2022;1;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BR.GR.03;BÜTÇE VE RAPORLAMA UZMANI GÖREV TANIMI;;;Görev Tanýmý;29.06.2022;2;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BR.GR.04;BÜTÇE YÖNETÝMÝ UZMAN YARDIMCISI GÖREV TANIMI;;;Görev Tanýmý;29.06.2022;1;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BR.GR.05;FÝNANS MÜDÜR YARDIMCISI GÖREV TANIMI;;;Görev Tanýmý;29.06.2022;1;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BR.GR.06;FÝNANS UZMANI GÖREV TANIMI;;;Görev Tanýmý;29.06.2022;1;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BR.GR.07;BÜTÇE VE RAPORLAMA KIDEMLÝ UZMANI GÖREV TANIMI;;;Görev Tanýmý;02.09.2024;0;02.09.2024;Hatice Bardakçý;Ýnsan Kýymetleri;Yeni Doküman;;08.09.2024;08.09.2025;12;08.09.2024;;Hatice Bardakçý;60
BR.PR.01;Bütçe ve Finans Ýþleyiþ Prosedürü;;;Prosedür;29.07.2020;1;25.07.2022;Pelin Yonat Yurtseven;Bütçe ve Finans;Doküman genel olarak gözden geçirildi.;;03.06.2024;03.12.2024;6;05.08.2022;;Pelin Yonat Yurtseven;0
BS.EK.01;Müþteri Memnuniyet Yönetim Sistemi El Kitabý;;;Doküman;06.09.2024;0;06.09.2024;Cansel Ergül;Baðýþ ve Sponsorluk Yönetimi;Yeni Doküman;;06.04.2025;06.10.2025;6;08.09.2024;;Cansel Ergül;60
BS.PR.01;CRM Yönetimi Ýþleyiþ Prosedürü;;;Prosedür;29.07.2020;1;04.07.2022;Ýsmail Emre Helvacý;Bilgi Teknolojileri;Genel gözden geçirme yapýldý.;;03.06.2024;03.12.2024;6;06.08.2022;;Ýlyas Kýzýlhan;0
BS.PR.02;Baðýþ ve Sponsorluk Ýþleyiþ Yönetimi Prosedürü;;;Prosedür;21.04.2022;2;01.07.2024;Yasemin Akýn;Baðýþ ve Sponsorluk Yönetimi;Müþteri Þikayet Yönetimi Prosedürü eklenmiþtir.;;08.09.2024;08.03.2025;6;08.09.2024;;;60
BS.PR.03;Kategori Bazlý Baðýþçý Yönetimi Prosedürü;;;Prosedür;21.04.2022;1;21.04.2022;Özge Özcan;Baðýþ ve Sponsorluk Yönetimi;7.1. maddesine ‘Fiziksel Baðýþ Stantlarý’ maddesi eklendi ve genel olarak doküman gözden geçirildi.;;03.06.2024;03.12.2024;6;05.08.2022;;Muhammed Said Seven;60
BS.PR.04;Baðýþçý Aidiyet ve Memnuniyet Teþekkür Arama Prosedürü;;;Prosedür;07.04.2022;1;07.07.2022;Onur Pulat;Baðýþ ve Sponsorluk Yönetimi;Doküman gözden geçirildi.;;03.06.2024;03.12.2024;6;05.08.2022;;Muhammed Said Seven;60
BS.PR.05;Yeþilay Þikayet Mekanizmasý Prosedürü;;;Doküman;06.09.2024;0;06.09.2024;Cansel Ergül;Baðýþ ve Sponsorluk Yönetimi;Yeni Doküman;;08.09.2024;08.03.2025;6;08.09.2024;;Cansel Ergül;60
BS.PT.01;YEÞÝLAY MÜÞTERÝ MEMNUNÝYETÝ VE ÞÝKÂYET YÖNETÝMÝ POLÝTÝKASI;;;Doküman;14.06.2024;0;14.06.2024;Cansel Ergül;Baðýþ ve Sponsorluk Yönetimi;Yeni Doküman;;06.03.2025;06.09.2025;6;14.06.2024;;Cansel Ergül;0
BS.TL.01;Talep Yönetimi Talimatý;;;Prosedür;29.07.2020;1;01.07.2024;Yasemin Akýn;Baðýþ ve Sponsorluk Yönetimi;"5. maddeye ‘ FR.02-YD.PR.01 Görüþ ve Öneri Kutusu ve FR.03-RH.PR.08 Danýþan Þikayet Formu’ eklendi.
7.1 Talep Ýletiþim Kanalý ‘Telefon’  eklendi
7.2 maddesinin içeriðine ‘Talep Yönetimi Hattý’ eklendi. Taleplerin alýnmasý kýsmýna ‘ QR kod ve Fiziksel Þikayet Formlarý’ eklendi.  Taleplerin alýnmasý web sitesine ‘https://ifgc.org/en/contact-us/’ adresi eklendi.
7.4.1 Talep Baþvuru Türlerine ‘ Þube açma ve Þube Faaliyetleri hk bilgi talebi,  Gönüllük hakkýnda bilgi talebi, Hesabým Sil,  Hesabýmý Silmekten vazgeçtim’ kýsýmlarý eklendi.
7.6.1 Talep Durum Açýklamalarý güncellendi.
7.8 Taleplerin Sonuç Durumu Olumlu -Olumsuz þeklinde eklenmiþtir.
7.9 Taleplerin Öncelik Derecesi Yüksek-Orta-Düþük olarak eklenmiþtir.
";;06.04.2025;06.10.2025;6;10.09.2024;;Cansel Ergül;0
BS.TL.02;SMS ve Mailing Yönetimi Talimatý;;;Prosedür;29.07.2020;0;29.07.2020;Cansel Ergül;Baðýþ ve Sponsorluk Yönetimi;Yeni Doküman;;03.06.2024;03.12.2024;6;29.07.2020;;Büþra Dündar Þahin;0
BS.TL.04;Paydaþ (Kiþi Ve Kurum Kartý) Tanýmlama Ve Güncelleme Talimatý;;;Doküman;29.07.2020;1;07.07.2022;Aylin Baykan;Direktörlükler;Doküman gözden geçirildi.;;26.03.2025;26.09.2025;6;04.08.2022;;;0
BT.GR.01;BÝLGÝ TEKNOLOJÝLERÝ DESTEK YETKÝLÝSÝ GÖREV TANIMI;;;Görev Tanýmý;28.05.2019;4;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BT.GR.02;BÝLGÝ TEKNOLOJÝLERÝ MÜDÜRÜ GÖREV TANIMI;;;Görev Tanýmý;06.02.2020;4;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BT.GR.04;SÝSTEM YÖNETÝMÝ UZMANI;;;Görev Tanýmý;01.07.2017;2;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BT.GR.09;YAZILIM GELÝÞTÝRME MÜDÜR YARDIMCISI GÖREV TANIMI;;;Görev Tanýmý;06.02.2020;3;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BT.GR.11;SÝBER GÜVENLÝK UZMANI GÖREV TANIMI;;;Görev Tanýmý;26.04.2022;2;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BT.GR.12;SÝSTEM YÖNETÝMÝ MÜDÜR YARDIMCISI GÖREV TANIMI;;;Görev Tanýmý;26.04.2022;2;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BT.GR.13;NETWORK YÖNETÝMÝ UZMANI GÖREV TANIMI;;;Görev Tanýmý;26.04.2022;1;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BT.GR.14;BÝLGÝ TEKNOLOJÝLERÝ DESTEK UZMANI GÖREV TANIMI;;;Görev Tanýmý;26.04.2021;4;04.09.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ADve Office365 1. seviye yönetimini saðlamak, maddesi eklendi.;;04.09.2024;04.09.2025;12;04.09.2024;;Hatice Bardakçý;0
BT.GR.16;ERP UZMANI GÖREV TANIMI;;;Görev Tanýmý;26.04.2022;2;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BT.GR.17;FRONTEND UZMANI GÖREV TANIMI;;;Görev Tanýmý;26.04.2022;1;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BT.GR.18;TEST UZMANI GÖREV TANIM;;;Görev Tanýmý;26.04.2022;1;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BT.GR.19;ÝÞ ANALÝSTÝ GÖREV TANIMI;;;Görev Tanýmý;26.04.2022;1;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BT.GR.20;BÝLGÝ TEKNOLOJÝLERÝ DESTEK MÜDÜR YARDIMCISI GÖREV TANIMI;;;Görev Tanýmý;26.04.2021;1;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BT.GR.21;YAZILIM GELÝÞTÝRME KIDEMLÝ UZMANI GÖREV TANIMI;;;Görev Tanýmý;26.04.2021;1;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BT.GR.22;YAZILIM GELÝÞTÝRME UZMANI GÖREV TANIMI;;;Görev Tanýmý;26.04.2022;1;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BT.GR.23;CRM KIDEMLÝ UZMANI GÖREV TANIMI;;;Görev Tanýmý;14.08.2023;1;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BT.GR.24;BÝLGÝ TEKNOLOJÝLERÝ PROJE YÖNETÝMÝ MÜDÜR YARDIMCISI GÖREV TANIMI;;;Görev Tanýmý;26.04.2021;2;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BT.GR.25;CRM UZMANI GÖREV TANIMI;;;Görev Tanýmý;06.02.2020;3;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
BT.GR.26;Siber Güvenlik Kýdemli Uzman Görev Tanýmý;;;Görev Tanýmý;04.09.2024;2;05.09.2024;Hatice Bardakçý;Ýnsan Kýymetleri;Yetenekler alaný güncellendi.;;05.09.2024;05.09.2025;12;05.09.2024;;Hatice Bardakçý;60
BT.PR.01;Bilgi Ýþlem Talep Prosedürü;;;Prosedür;02.01.2017;2;07.07.2022;Ýsmail Emre Helvacý;Bilgi Teknolojileri;Doküman gözden geçirildi.;;03.06.2024;03.12.2024;6;06.08.2022;;;0
BT.PR.02;Kablosuz Að Kullaným Prosedürü;;;Prosedür;20.07.2017;2;04.07.2022;Ýsmail Emre Helvacý;Bilgi Teknolojileri;7. baþlýk içerisine ‘3 adet kablosuz baðlantý (YESILAY_WIFI , YESILAY MISAFIR ve YESILAY_MOBIL) aðý bulunmaktadýr.‘ ve ‘Yeþilay Misafir kablosuz aðýna eriþim için  ……eriþim saðlayabilir.’ Bilgisi eklendi.;;03.06.2024;03.12.2024;6;06.08.2022;;;0
BT.PR.03;Kullanýcý Þifre Prosedürü;;;Prosedür;20.07.2017;2;04.07.2022;Ýsmail Emre Helvacý;Bilgi Teknolojileri;7.1. baþlýða ’90 gün’ bilgisi eklendi.;;03.06.2024;03.12.2024;6;06.08.2022;;;0
BT.PR.04;Uzaktan Eriþim Prosedürü;;;Prosedür;20.07.2017;2;23.07.2022;Ýsmail Emre Helvacý;Bilgi Teknolojileri;7.baþlýða ‘ iç ve dýþ paydaþlar …. Sonra PAM ile yapýlacaktýr.’ Bilgisi eklendi.;;03.06.2024;03.12.2024;6;06.08.2022;;;0
BT.PR.05;Yazýlým Kullaným Prosedürü;;;Prosedür;20.07.2017;2;07.07.2022;Ýsmail Emre Helvacý;Bilgi Teknolojileri;Doküman gözden geçirildi.;;03.06.2024;03.12.2024;6;06.08.2022;;;0
BT.PR.06;Bilgi Teknolojileri Yedekleme Prosedürü;;;Prosedür;10.12.2018;2;04.07.2022;Ýsmail Emre Helvacý;Bilgi Teknolojileri;7.6. baþlýk YEDEKLEME ENVANTERLERÝNÝN ÝMHASI kaldýrýldý.;;03.06.2024;03.12.2024;6;06.08.2022;;;0
BT.PR.07;BT Süreklilik Yönetimi Prosedürü;;;Prosedür;10.12.2018;5;24.06.2024;Tuba Özdemir;Bilgi Teknolojileri;Tablo 1’deki personel listesi güncellendi.;;10.09.2024;10.03.2025;6;10.09.2024;;Ýlyas Kýzýlhan;0
BT.PR.09;Bilgi Teknolojileri Deðiþiklikleri Yönetimi Prosedürü;;;Prosedür;10.12.2018;3;07.07.2022;Ýsmail Emre Helvacý;Bilgi Teknolojileri;Doküman gözden geçirildi.;;03.06.2024;03.12.2024;6;06.08.2022;;;0
BT.PR.10;Fiziksel ve Çevresel Güvenlik Prosedürü;;;Prosedür;10.12.2018;2;07.07.2022;Ýsmail Emre Helvacý;Bilgi Teknolojileri;Doküman gözden geçirildi.;;03.06.2024;03.12.2024;6;06.08.2022;;;0
BT.PR.11;Kimlik ve Eriþim Yönetimi Prosedürü;;;Prosedür;10.12.2018;4;26.08.2024;Hüseyin Hýdýroðlu;Bilgi Teknolojileri;7.1 Rol ve Yetki Matrisi eklenmiþtir.;;09.09.2024;09.03.2025;6;09.09.2024;;Hüseyin Hýdýroðlu;0
BT.PR.12;Yardým Masasý, Problem ve Olay Yönetimi Prosedürü;;;Prosedür;10.12.2018;3;04.07.2022;Tuba Özdemir;Bilgi Teknolojileri;7. baþlýk ‘talep konusu’ ve ‘problemler envanterde bulunan…takip edilmesi saðlanýr.’ bilgisi eklendi.;;09.09.2024;09.03.2025;6;09.09.2024;;Hüseyin Hýdýroðlu;0
BT.PR.15;Donanýmlarýn Yönetimi Prosedürü;;;Prosedür;21.02.2019;3;19.08.2024;Hüseyin Hýdýroðlu;Bilgi Teknolojileri;"5. Baþlýða Ýnsan Kýymetleri Müdürlüðü,
4. Sorumluluklar alanýna yeni madde eklendi.
7.1.1 baþlýðýn Mobil Bilgi Varlýklarýnýn Yönetimi baþlýðý alanýndan erp ile ilgili bilgi revize edildi.
7.1.2 baþlýðýnda yeni madde eklendi.";;09.09.2024;09.03.2025;6;09.09.2024;;Hüseyin Hýdýroðlu;0
BT.PR.17;Yazýlým Geliþtirme Prosedürü;;;Prosedür;21.02.2019;2;07.07.2022;Ýsmail Emre Helvacý;Bilgi Teknolojileri;Doküman gözden geçirildi.;;03.06.2024;03.12.2024;6;06.08.2022;;;0
BT.PT.01;Bilgi Güvenliði Politikasý;;;Doküman;06.04.2020;1;12.07.2021;Ýsmail Emre Helvacý;Bilgi Teknolojileri;Politika içeriðine güncelleþtirmeler olmuþtur.;;03.06.2024;03.12.2024;6;22.08.2021;;;0
BT.TL.01;Eylem Yönetimi Talimatý;;;Prosedür;29.07.2020;0;29.07.2020;Mehmet Alçýn;Baðýþ ve Sponsorluk Yönetimi;Yeni Doküman;;29.07.2020;29.01.2021;6;29.07.2020;;;0
BT.TL.02;EYLEM YÖNETÝMÝ TALÝMATI;;;Doküman;30.06.2024;0;30.06.2024;Sevgi Güler;Bilgi Teknolojileri;Yeni Doküman;;09.09.2024;09.03.2025;6;09.09.2024;;Sevgi Güler;60
D5.GR.13;SATIN ALMA UZMANI GÖREV TANIMI;;;Görev Tanýmý;18.11.2024;0;18.11.2024;Hatice Bardakçý;Ýnsan Kýymetleri;Yeni Doküman;;20.11.2024;20.11.2025;12;20.11.2024;;Hatice Bardakçý;60
DI.GR.02;ULUSLARARASI ÝÞBÝRLÝKLERÝ MÜDÜR YARDIMCISI GÖREV TANIMI;;;Görev Tanýmý;28.05.2019;3;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
DI.GR.04;ULUSLARARASI ÝÞBÝRLÝKLERÝ UZMANI GÖREV TANIMI;;;Görev Tanýmý;28.05.2019;4;13.02.2025;Hatice Bardakçý;Ýnsan Kýymetleri;Ýçerik Güncellendi.;;08.04.2025;08.04.2026;12;08.04.2025;;Hatice Bardakçý;0
DI.GR.06;ULUSLARARASI GELÝÞÝM MÜDÜR YARDIMCISI GÖREV TANIMI;;;Görev Tanýmý;17.08.2021;2;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
DI.GR.08;ULUSLARARASI ÝÞBÝRLÝKLERÝ MÜDÜRÜ GÖREV TANIMI;;;Görev Tanýmý;17.08.2021;2;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
DI.GR.10;ULUSLARARASI ARAÞTIRMA VE RAPORLAMA UZMAN YARDIMCISI GÖREV TANIMI;;;Görev Tanýmý;17.08.2021;2;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
DI.GR.11;ULUSLARARASI ÝÞBÝRLÝKLERÝ VE PROJELER UZMANI GÖREV TANIMI;;;Görev Tanýmý;21.06.2022;1;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
DI.GR.12;ULUSLARARASI YAYILIM VE GELÝÞÝM UZMAN YARDIMCISI GÖREV TANIMI;;;Görev Tanýmý;21.06.2022;1;04.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 ile ilgili madde eklenmiþtir.;;04.07.2024;04.07.2025;12;04.07.2024;;;0
DI.GR.13;ULUSLARARASI ÝÞBÝRLÝKLERÝ KIDEMLÝ UZMANI GÖREV TANIMI;;;Görev Tanýmý;16.08.2023;2;13.02.2025;Hatice Bardakçý;Ýnsan Kýymetleri;Görev tanýmýnýn içeriði güncellendi.;;08.04.2025;08.04.2026;12;08.04.2025;;Hatice Bardakçý;0
DI.GR.14;ULUSLARARASI ÝÞBÝRLÝKLERÝ VE PROJELER UZMAN YARDIMCISI GÖREV TANIMI;;;Görev Tanýmý;09.09.2024;0;09.09.2024;Hatice Bardakçý;Ýnsan Kýymetleri;Yeni Doküman;;09.09.2024;09.09.2025;12;09.09.2024;;Hatice Bardakçý;60
DI.PR.01;Uluslararasý Ýþbirlikleri Ýþleyiþ Prosedürü;;;Prosedür;03.04.2019;4;04.07.2024;Merve Tamer;Uluslararasý Ýþbirlikleri;Genel olarak revize edildi.;;08.09.2024;08.03.2025;6;08.09.2024;;Sedef Erçetin;0
DI.PR.02;Uluslararasý Etkinlik Yönetimi Prosedürü;;;Prosedür;21.02.2019;4;15.07.2024;Merve Tamer;Uluslararasý Ýþbirlikleri;Genel olarak revize edilmiþtir.;;08.09.2024;08.03.2025;6;08.09.2024;;Sedef Erçetin;60
DI.PR.03;Uluslararasý Temsil ve Ýþbirlikleri Yönetimi Prosedürü;;;Prosedür;27.03.2019;3;04.07.2024;Merve Tamer;Uluslararasý Ýþbirlikleri;Doküman genel olarak revize edilmiþtir. ;;08.09.2024;08.03.2025;6;08.09.2024;;Sedef Erçetin;0
DI.PR.04;Yeþilay'ýn Uluslararasý Tanýtýmý ile Ürün Hizmetlerin Yayýlýmý Prosedürü;;;Prosedür;27.03.2019;3;04.07.2024;Merve Tamer;Uluslararasý Ýþbirlikleri;Doküman genel olarak revize edilmiþtir. ;;08.09.2024;08.03.2025;6;08.09.2024;;Sedef Erçetin;0
DI.TL.01;Ýçerik ve Çeviri Talimatý;;;Talimat;21.02.2019;2;14.06.2024;Tuba Özdemir;Federasyon Yönetimi;EBYS – Çeviri Talep Formu eklenmiþtir. 7.1.1.C ve 2.D. maddeleri revise edilmiþtir. ;;08.09.2024;08.03.2025;6;08.09.2024;;;60
DI.TZ.01;Federasyon Tüzüðü;;;Tüzük;02.01.2017;0;02.01.2017;Aysun Baðran;Dýþ Ýliþkiler Müdürlüðü;Yeni Doküman;;03.06.2024;03.12.2024;6;02.01.2017;;;0
DP.GR.01;AÞÇI YARDIMCISI GÖREV TANIMI;;;Görev Tanýmý;02.09.2024;0;02.09.2024;Hatice Bardakçý;Ýnsan Kýymetleri;Yeni Doküman;;05.09.2024;05.09.2025;12;05.09.2024;;Hatice Bardakçý;60
DP.GR.02;Gençlik Koordinatörü Görev Tanýmý;;;Görev Tanýmý;03.07.2024;0;03.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;Yeni Doküman;;03.07.2024;03.07.2025;12;03.07.2024;;;0
DP.GR.03;Vardiya Sorumlusu Görev Tanýmý;;;Görev Tanýmý;03.07.2024;0;03.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;Yeni Doküman;;03.07.2024;03.07.2025;12;03.07.2024;;;0
DP.GR.04;Aþçý Görev Tanýmý;;;Görev Tanýmý;03.07.2024;0;03.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;Yeni Doküman;;03.07.2024;03.07.2025;12;03.07.2024;;;0
DP.GR.05;TÝCARÝ PAZARLAMA OPERASYONLARI UZMANI GÖREV TANIMI;;;Görev Tanýmý;02.09.2024;0;02.09.2024;Hatice Bardakçý;Ýnsan Kýymetleri;Yeni Doküman;;09.09.2024;09.09.2025;12;09.09.2024;;Hatice Bardakçý;60
DP.GR.06;E-Ticaret Kýdemli Yetkili Görev Tanýmý;;;Görev Tanýmý;31.03.2021;1;10.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 maddesi eklendi.;;10.07.2024;10.07.2025;12;10.07.2024;;;0
DP.GR.07;Barista Görev Tanýmý;;;Görev Tanýmý;31.03.2021;2;05.07.2024;Hatice Bardakçý;Ýnsan Kýymetleri;ISO 10002 maddesi eklendi.;;05.07.2024;05.07.2025;12;05.07.2024;;;0
